file,error_percent,iou,auc
bottle\test\broken_small\018.png,32.842254638671875,0.015214210021698541,0.25824398059706805
bottle\test\broken_small\019.png,33.261990547180176,0.004571458425850944,0.2508316232475896
bottle\test\broken_small\020.png,32.54386782646179,0.004378748474072502,0.2209516783321858
bottle\test\broken_small\021.png,32.12469220161438,0.0014456491520711703,0.16156250595167249
bottle\test\contamination\000.png,32.908087968826294,0.04829591781268685,0.37668254809679635
bottle\test\contamination\001.png,32.82990753650665,0.03924612577280279,0.4299632024291328
bottle\test\contamination\002.png,33.11222493648529,0.008993381725021348,0.4185218504281327
bottle\test\contamination\003.png,33.27488303184509,0.0006912796354139997,0.31092296174174183
bottle\test\contamination\004.png,33.18907618522644,0.0018701644719987703,0.3257995475677182
bottle\test\contamination\005.png,31.593894958496094,0.034026874729085395,0.3415839593085729
bottle\test\contamination\006.png,29.77648675441742,0.0,0.17083215935914642
bottle\test\contamination\007.png,32.56125450134277,0.02076656159775382,0.29729237859029334
bottle\test\contamination\008.png,33.06944668292999,0.04541136735447781,0.4535336294028676
bottle\test\contamination\009.png,33.264535665512085,0.15090735434574976,0.5210147682360272
bottle\test\contamination\010.png,33.10765624046326,0.0772293215289958,0.48652896621620206
bottle\test\contamination\011.png,31.8533718585968,0.0397363619032056,0.39025297986442253
bottle\test\contamination\012.png,30.4659366607666,0.0,0.26416631047855543
bottle\test\contamination\013.png,32.59273171424866,0.02169421487603306,0.2957094114712623
bottle\test\contamination\014.png,33.00643265247345,0.0033136159491729653,0.36009069954041034
bottle\test\contamination\015.png,33.03675651550293,0.04973973395026027,0.4674958672821753
bottle\test\contamination\016.png,31.829044222831726,0.06758781421674713,0.4909239731956107
bottle\test\contamination\017.png,32.58343040943146,0.02712387398596526,0.2870387089740591
bottle\test\contamination\018.png,32.78833627700806,0.006095937816110312,0.5128814474915977
bottle\test\contamination\019.png,32.672131061553955,0.009024100291797255,0.36332051114623987
bottle\test\contamination\020.png,31.420379877090454,0.00287034252754162,0.348447577791622
carpet\test\color\000.png,16.647541522979736,0.27449693788276464,0.8957148487367692
carpet\test\color\001.png,15.20007699728012,0.05947271612507664,0.8067134121562236
carpet\test\color\002.png,13.991396129131317,0.039199606363785465,0.757427865313163
carpet\test\color\003.png,14.315947890281677,0.03372802296376032,0.8133970161546767
carpet\test\color\004.png,14.484548568725586,0.10168404170008019,0.8733797192647786
carpet\test\color\005.png,14.386022090911865,0.03212520593080725,0.7546332689752273
carpet\test\color\006.png,14.74635899066925,0.0515339277618256,0.7826897540594461
carpet\test\color\007.png,15.101087093353271,0.06056802134002824,0.8428061849658743
carpet\test\color\008.png,15.248164534568787,0.3103293244914016,0.9135806123830987
carpet\test\color\009.png,14.459100365638733,0.0815624064651302,0.8164837853740391
carpet\test\color\010.png,14.331641793251038,0.0673264114211551,0.8496574106508321
carpet\test\color\011.png,14.567521214485168,0.006941838649155723,0.7197419439454927
carpet\test\color\012.png,14.478379487991333,0.015265771565201397,0.7149159015126556
carpet\test\color\013.png,14.20648992061615,0.006784771956275914,0.7204234622269006
carpet\test\color\014.png,14.457106590270996,0.016751638747268753,0.7473762018164006
carpet\test\color\015.png,13.746626675128937,0.021342089062179357,0.7688057686377251
carpet\test\color\016.png,14.18127715587616,0.03469426873682193,0.7761258850094205
